actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc
774,ARM_774,Faylaq Al-Sham,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6404.0,Sham Legion,https://ucdp.uu.se/actor/6404,,,Faylaq Al-Sham  is an Armed Organization based in Syria.
775,ARM_775,Fa-Istaqim-Kama-Omert,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,Fa-Istaqim-Kama-Omert  is an Armed Organization based in Syria.
776,ARM_776,The Shami Front,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,The Shami Front  is an Armed Organization based in Syria.
777,ARM_777,The Sham Front,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,The Sham Front  is an Armed Organization based in Syria.
778,ARM_778,Islam Army (Jaysh Al-Islam),Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6377.0,Jaysh al-Islam,https://ucdp.uu.se/actor/6377,Jaysh al Islam,,Islam Army (Jaysh Al-Islam)  is an Armed Organization based in Syria.
779,ARM_779,Al-Arbaeen Brigades,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,Al-Arbaeen Brigades  is an Armed Organization based in Syria.
780,ARM_780,Faylaq Al-Rahman,Armed Organization,,,FaR,SYR,Syria,652.0,Asia,,,,,,6391.0,Rahman Corps,https://ucdp.uu.se/actor/6391,FaR: Al Rahman Corps,,Faylaq Al-Rahman (FaR) is an Armed Organization based in Syria.
781,ARM_781,Al-Furqan Brigades,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6437.0,Furqan Brigades,https://ucdp.uu.se/actor/6437,,,Al-Furqan Brigades  is an Armed Organization based in Syria.
782,ARM_782,City of Aleppo Brigades,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,City of Aleppo Brigades  is an Armed Organization based in Syria.
783,ARM_783,The Sham Revolutionary Brigades,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,7106.0,,https://ucdp.uu.se/actor/7106,Suquor al Sham,,The Sham Revolutionary Brigades  is an Armed Organization based in Syria.
784,ARM_784,Nour El-Deen Zenki Movement,Armed Organization,,,HNDZ,SYR,Syria,652.0,Asia,,,,,,6434.0,Nour al-Din Zenki,https://ucdp.uu.se/actor/6434,HNDZ: Nour al Din al Zinki Movement,,Nour El-Deen Zenki Movement (HNDZ) is an Armed Organization based in Syria.
785,ARM_785,Islamic Union of Ajnad al-Sham,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,Ajnad al Sham Islamic Union,,Islamic Union of Ajnad al-Sham  is an Armed Organization based in Syria.
786,ARM_786,Authenticity and Development Front,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6393.0,Authenticity and Development Front,https://ucdp.uu.se/actor/6393,,,Authenticity and Development Front  is an Armed Organization based in Syria.
787,ARM_787,Al-Fawj Al-Awwal,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6421.0,First Regiment,https://ucdp.uu.se/actor/6421,1st Regiment,,Al-Fawj Al-Awwal  is an Armed Organization based in Syria.
788,ARM_788,Sukur Al-Ghab,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,Falcons of al-Ghab,,Sukur Al-Ghab  is an Armed Organization based in Syria.
789,ARM_789,Basque Nation and Liberty,Armed Organization,,,ETA,ESP,Spain,230.0,Europe,,,,,,313.0,ETA,https://ucdp.uu.se/actor/313,,,Basque Nation and Liberty (ETA) is an Armed Organization based in Spain.
790,OTH_790,Bangui National Forum,Umbrella,,,,CAF,Central African Republic,482.0,Africa,,,,,,,,,,,Bangui National Forum is an Umbrella actor.
791,OTH_791,Arbitration Commission of the Conference on Yugoslavia,Other,,,,,,,Europe,,1.0,1.0,,,,,,,,Arbitration Commission of the Conference on Yugoslavia is an Other actor.
793,MIL_793,Yugoslav People's Army,Military,,,, ,Yugoslavia,345.0,Europe,,,,,,,,,,,Yugoslav People's Army refers to the military/army of Yugoslavia.
